[2026-01-29 19:29:56,462] INFO: [BCIC] Gagal mengambil data.
[2026-01-29 19:29:56,827] ERROR: Gagal download BDMN.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BDMN.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257795&period2=1769689795
[2026-01-29 19:29:56,829] INFO: [BDMN] Gagal mengambil data.
[2026-01-29 19:29:56,906] INFO: [BEKS] Selesai. +4 data baru.
[2026-01-29 19:29:57,733] ERROR: Gagal download BGTG.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BGTG.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257796&period2=1769689796
[2026-01-29 19:29:57,734] INFO: [BGTG] Gagal mengambil data.
[2026-01-29 19:29:57,761] INFO: [BFIN] Selesai. +4 data baru.
[2026-01-29 19:29:58,051] INFO: [BJTM] Selesai. +4 data baru.
[2026-01-29 19:29:58,331] INFO: [BJBR] Selesai. +4 data baru.
[2026-01-29 19:29:58,658] ERROR: Gagal download BINA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BINA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257796&period2=1769689796
[2026-01-29 19:29:58,660] INFO: [BINA] Gagal mengambil data.
[2026-01-29 19:29:59,051] ERROR: Gagal download BMAS.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BMAS.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257797&period2=1769689797
[2026-01-29 19:29:59,053] INFO: [BMAS] Gagal mengambil data.
[2026-01-29 19:29:59,285] ERROR: Gagal download BMRI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BMRI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257798&period2=1769689798
[2026-01-29 19:29:59,286] INFO: [BMRI] Gagal mengambil data.
[2026-01-29 19:29:59,607] ERROR: Gagal download BNBA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BNBA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257798&period2=1769689798
[2026-01-29 19:29:59,608] INFO: [BNBA] Gagal mengambil data.
[2026-01-29 19:29:59,738] INFO: [BKSW] Selesai. +4 data baru.
[2026-01-29 19:29:59,925] ERROR: Gagal download BNGA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BNGA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257798&period2=1769689798
[2026-01-29 19:29:59,927] INFO: [BNGA] Gagal mengambil data.
[2026-01-29 19:30:00,481] INFO: [BNII] Selesai. +4 data baru.
[2026-01-29 19:30:00,730] ERROR: Gagal download BNLI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BNLI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257799&period2=1769689799
[2026-01-29 19:30:00,732] INFO: [BNLI] Gagal mengambil data.
[2026-01-29 19:30:01,244] ERROR: Gagal download BPFI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BPFI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257799&period2=1769689799
[2026-01-29 19:30:01,245] INFO: [BPFI] Gagal mengambil data.
[2026-01-29 19:30:01,553] ERROR: Gagal download BPII.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BPII.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257799&period2=1769689799
[2026-01-29 19:30:01,554] INFO: [BPII] Gagal mengambil data.
[2026-01-29 19:30:01,588] ERROR: Gagal download BSWD.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BSWD.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257800&period2=1769689800
[2026-01-29 19:30:01,590] INFO: [BSWD] Gagal mengambil data.
[2026-01-29 19:30:01,701] ERROR: Gagal download BSIM.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BSIM.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257799&period2=1769689799
[2026-01-29 19:30:01,703] INFO: [BSIM] Gagal mengambil data.
[2026-01-29 19:30:02,182] ERROR: Gagal download BTPN.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BTPN.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257800&period2=1769689800
[2026-01-29 19:30:02,184] INFO: [BTPN] Gagal mengambil data.
[2026-01-29 19:30:02,728] ERROR: Gagal download BVIC.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BVIC.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257801&period2=1769689801
[2026-01-29 19:30:02,730] INFO: [BVIC] Gagal mengambil data.
[2026-01-29 19:30:03,217] ERROR: Gagal download DNAR.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/DNAR.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257801&period2=1769689801
[2026-01-29 19:30:03,220] INFO: [DNAR] Gagal mengambil data.
[2026-01-29 19:30:03,306] INFO: [CFIN] Selesai. +4 data baru.
