date,ticker,company,open,high,low,close,volume
2026-01-26,ASMI,Asuransi Maximus Graha Persada,34.0,36.0,34.0,36.0,4499400
2026-01-27,ASMI,Asuransi Maximus Graha Persada,36.0,36.0,36.0,36.0,4020900
2026-01-28,ASMI,Asuransi Maximus Graha Persada,33.0,33.0,33.0,33.0,1573500
2026-01-29,ASMI,Asuransi Maximus Graha Persada,30.0,30.0,30.0,30.0,2226300
